sigla;nome;cred_aula;cred_trabalho;ch_total
ACH5505;Ecologia Geral e Aplicada;4;0;60
ACH1044;Ecologia Humana;2;1;60
ACH1064;Economia;2;0;30
ACH3505;Economia Brasileira;2;0;30
ACH4697;Economia Brasileira;4;0;60
ACH3637;Economia Brasileira - Tópicos Especiais;4;0;60
ACH3517;Economia da Regulação;2;0;30
ACH1543;Economia do Lazer e Turismo;4;0;60
ACH3574;Economia do Setor Público;2;0;30
ACH3156;Economia e finanças em Gerontologia;2;2;90
ACH2557;Economia e Mercado Têxtil;2;0;30
ACH1025;Economia Ecológica;2;1;60
ACH2047;Economia para Computação;4;0;60
ACH1005;Educação Ambiental;2;0;30
ACH4038;Educação Ambiental;4;2;120
ACH5073;Educação em Saúde;4;0;60
ACH3798;Educação Fiscal e Coesão Social;2;0;30
ACH4098;Educação Inclusiva e Língua Brasileira de Sinais;4;0;60
ACH3098;Educação para o Envelhecimento;2;0;30
ACH4567;Elaboração de TCC I;0;6;180
ACH4568;Elaboração de TCC II;0;6;180
ACH1157;Elaboração e Análise de Projetos Socioambientais;2;0;30
ACH3575;Elaboração e Avaliação de Projetos no Setor Público;4;0;60
ACH4156;Elaboração e Uso de Maquetes do Relevo na Formação de Professores de Ciências;2;0;30
ACH4015;Eletricidade e Magnetismo;2;0;30
ACH5043;Embriologia e Genética;4;0;60
ACH2657;Empreendedorismo;2;1;60
ACH3088;Empreendedorismo em Gerontologia;2;2;90
ACH2008;Empreendedorismo em Informática;4;0;60
ACH5508;Empreendedorismo Tecnológico;2;0;30
ACH5506;Engenharia Bioquímica I;4;0;60
ACH5507;Engenharia Bioquímica II;4;0;60
ACH2006;Engenharia de Sistemas de Informação I;4;0;60
ACH2006;Engenharia de Sistemas de Informação I;4;0;60
ACH2007;Engenharia de Sistemas de Informação II;4;2;120
ACH5545;Engenharia Genética;4;0;60
ACH2798;Ensino da Arte e Design em Têxtil e Moda;2;0;30
ACH4206;Ensino de Ciências na Perspectiva da Inclusão;4;2;120
ACH1553;Entretenimento;4;0;60
ACH3136;Envelhecimento e Aparência;2;2;90
ACH3106;Envelhecimento e Velhice no Cinema;4;0;60
ACH8622;Epidemiologia;4;1;90
ACH0502;Epidemiologia da Atividade Física;4;0;60
ACH3113;Epidemiologia do Envelhecimento;2;1;60
ACH3113;Epidemiologia do Envelhecimento;2;1;60
ACH1043;Epidemiologia e Microbiologia;2;1;60
ACH1698;Epistemologia do Turismo;2;0;30
ACH2574;Ergonomia e Design de Moda;2;0;30
ACH1573;Espaços e Equipamentos de Lazer;4;0;60
ACH0567;Esportes Adaptados;4;1;90
ACH0557;Esportes Aquáticos;2;1;60
ACH0628;Esportes Aquáticos: Remo e Canoagem;2;1;60
ACH0608;Esportes Coletivos;6;1;120
ACH0625;Esportes de Aventura;2;2;90
ACH0537;Esportes Individuais;6;1;120
ACH0603;Esportes Individuais I;4;1;90
ACH0645;Esportes Individuais II;4;1;90
ACH0665;Esportes Individuais III;4;1;90
ACH3554;Estado, Burocracia e Políticas Públicas;2;0;30
ACH3676;Estado, Sociedade Civil e Movimentos Sociais;4;0;60
ACH5518;Estágio Curricular;0;8;240
ACH5018;Estágio Curricular de Administração de Serviços de Atenção à Saúde I;4;1;90
ACH5039;Estágio Curricular de Administração de Serviços de Atenção à Saúde II;4;1;90
ACH5027;Estágio Curricular Integrado I;16;1;270
ACH3053;Estágio Curricular Integrado I: Gestão em Atenção Primária e Proteção Social Básica;4;4;180
ACH5028;Estágio Curricular Integrado II;16;1;270
ACH3054;Estágio Curricular Integrado II: Gestão em Atenção Primária e Proteção Básica;4;4;180
ACH5019;Estágio Curricular Integrado III;16;1;270
ACH3055;Estágio Curricular Integrado III: Gestão de Redes de Apoio e Gestão de Casos I;4;4;180
ACH5049;Estágio Curricular Integrado IV;16;1;270
ACH3056;Estágio Curricular Integrado IV: Gestão de Redes de Apoio e Gestão de Casos I;4;4;180
ACH3057;Estágio Curricular Integrado V: Gestão Gerontológica Integrada e Gestão de Casos II;4;4;180
ACH3058;Estágio Curricular Integrado VI: Gestão Gerontológica Integrada e Gestão de Casos II;4;4;180
ACH3607;Estágio Obrigatório;0;8;240
ACH1593;Estágio Supervisionado;0;10;300
ACH2548;Estágio Supervisionado;0;2;60
ACH0525;Estágio Supervisionado em Atividade Física I;6;4;210
ACH0526;Estágio Supervisionado em Atividade Física II;6;4;210
